Season,Squad,Country,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2019-2020,Slavia Prague,Czech Republic,20,26.9,6,66,4,3,7,3,1,1,16.0,0.0
2019-2020,Tottenham,England,28,26.2,8,88,18,15,33,16,2,2,14.0,0.0
2019-2020,Valencia,Spain,23,27.2,8,88,12,9,21,11,1,3,19.0,2.0
2019-2020,ruZen,Italy,19,28.1,6,66,6,5,11,6,0,0,17.0,1.0
2018-2019,AEK Athens,Greece,20,26.0,6,66,2,2,4,2,0,0,13.0,2.0
2018-2019,Ajax,The Netherlands,22,24.3,12,132,22,17,39,20,2,2,28.0,1.0
2018-2019,Atlético Madrid,Spain,21,26.4,8,88,11,8,19,11,0,0,23.0,1.0
2018-2019,Barcelona,Spain,23,27.7,12,132,25,18,43,24,1,1,20.0,1.0
2018-2019,Bayern Munich,Germany,20,28.3,8,88,15,9,24,13,2,2,12.0,1.0
2018-2019,Benfica,Portugal,20,25.5,6,66,6,3,9,6,0,0,14.0,1.0
2018-2019,Club Brugge,Belgium,25,24.9,6,66,6,3,9,5,1,1,8.0,0.0
2018-2019,CSKA Moscow,Russia,22,23.9,6,66,8,5,13,6,2,2,14.0,2.0
2018-2019,Dortmund,Germany,24,25.0,8,88,10,8,18,10,0,1,11.0,0.0
2018-2019,Galatasaray,Türkiye,21,28.4,6,66,5,2,7,3,2,3,14.0,1.0
2018-2019,Hoffenheim,Germany,25,25.6,6,66,11,7,18,10,1,1,13.0,2.0
2018-2019,Inter,Italy,17,28.1,6,66,6,4,10,6,0,0,15.0,0.0
2018-2019,Juventus,Italy,22,28.4,10,110,14,11,25,11,3,3,16.0,1.0
2018-2019,Liverpool,England,20,26.1,13,143,24,17,41,20,4,5,21.0,0.0
2018-2019,Loko Moscow,Russia,19,29.0,6,66,3,2,5,3,0,1,16.0,1.0
2018-2019,Lyon,France,21,24.4,8,88,13,9,22,13,0,0,13.0,0.0
2018-2019,Manchester City,England,21,26.7,10,110,30,20,50,27,3,4,16.0,1.0
2018-2019,Manchester Utd,England,26,26.2,10,110,9,5,14,7,2,2,20.0,1.0
2018-2019,Monaco,France,29,25.0,6,66,2,1,3,2,0,1,13.0,0.0
2018-2019,Napoli,Italy,18,28.2,6,66,7,5,12,6,1,1,13.0,0.0
2018-2019,Paris S-G,France,20,27.0,8,88,19,14,33,19,0,0,18.0,0.0
2018-2019,Porto,Portugal,25,27.9,10,110,20,15,35,16,4,5,20.0,0.0
2018-2019,PSV Eindhoven,The Netherlands,18,24.4,6,66,6,5,11,6,0,0,14.0,0.0
2018-2019,Real Madrid,Spain,24,27.0,8,88,15,12,27,15,0,0,13.0,1.0
2018-2019,Red Star,Serbia,20,26.8,6,66,5,3,8,5,0,0,17.0,0.0
2018-2019,Roma,Italy,24,27.4,8,88,14,12,26,13,1,1,12.0,1.0
2018-2019,Schalke 04,Germany,27,26.2,8,88,8,4,12,5,3,3,16.0,0.0
2018-2019,Shakhtar,Ukraine,20,27.5,6,66,8,8,16,8,0,0,10.0,0.0
2018-2019,Tottenham,England,24,27.0,13,143,20,17,37,20,0,0,23.0,1.0
2018-2019,Valencia,Spain,22,25.9,6,66,5,2,7,5,0,1,20.0,0.0
2018-2019,Viktoria Plzeň,Czech Republic,21,29.6,6,66,7,6,13,7,0,1,10.0,0.0
2018-2019,Young Boys,Switzerland,20,26.1,6,66,4,1,5,2,2,2,15.0,2.0
2016-2017,Arsenal,England,21,26.3,8,88,19,13,32,18,1,2,0.0,1.0
2016-2017,Atlético Madrid,Spain,20,26.6,12,132,15,9,24,12,3,4,0.0,0.0
2016-2017,Barcelona,Spain,23,27.0,10,110,25,17,42,22,3,4,0.0,1.0
2016-2017,Basel,Switzerland,18,27.0,6,66,3,2,5,3,0,0,0.0,1.0
2016-2017,Bayern Munich,Germany,21,28.3,10,110,26,13,39,22,4,5,0.0,2.0
2016-2017,Benfica,Portugal,25,25.5,8,88,11,6,17,9,2,2,0.0,0.0
2016-2017,Beşiktaş,Türkiye,21,29.2,6,66,9,3,12,7,2,2,0.0,1.0
