Season,Squad,Country,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2003-2004,Juventus,Italy,22,28.4,8,89,15,12,27,15,0,0,16.0,0.0
2003-2004,La Coruña,Spain,22,28.9,14,131,16,5,21,15,1,1,18.0,2.0
2003-2004,Lazio,Italy,21,29.6,8,66,6,2,8,5,1,1,13.0,1.0
2003-2004,Loko Moscow,Russia,17,27.6,10,66,7,4,11,6,1,1,9.0,1.0
2003-2004,Lyon,France,20,25.8,10,110,10,3,13,8,2,2,12.0,1.0
2003-2004,Manchester Utd,England,22,26.0,8,85,14,9,23,13,1,1,9.0,1.0
2003-2004,Marseille,France,19,25.5,8,66,9,7,16,9,0,0,7.0,0.0
2003-2004,Milan,Italy,24,28.8,10,113,12,2,14,12,0,0,14.0,2.0
2003-2004,Monaco,France,20,25.5,13,143,25,8,33,25,0,0,18.0,3.0
2003-2004,Olympiacos,Greece,20,28.3,6,66,6,5,11,6,0,0,15.0,1.0
2003-2004,Panathinaikos,Greece,21,27.9,6,66,5,5,10,5,0,0,12.0,1.0
2003-2004,Partizan,Serbia,22,26.5,10,66,3,1,4,3,0,0,6.0,1.0
2003-2004,Porto,Portugal,22,27.5,13,136,16,6,22,15,1,1,25.0,0.0
2003-2004,PSV Eindhoven,The Netherlands,19,25.5,6,66,8,4,12,8,0,0,13.0,1.0
2003-2004,Rangers,Scotland,19,27.5,8,66,4,1,5,4,0,0,8.0,0.0
2003-2004,Real Madrid,Spain,19,26.9,10,106,17,9,26,16,1,1,13.0,0.0
2003-2004,Real Sociedad,Spain,20,28.7,8,86,7,5,12,6,1,1,11.0,1.0
2003-2004,Sparta Prague,Czech Republic,21,26.9,10,85,6,4,10,6,0,0,5.0,0.0
2003-2004,Stuttgart,Germany,21,25.1,8,88,8,7,15,8,0,1,8.0,0.0
