Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2011-2012,Round of 16,Tue,2012-02-14,Leverkusende,1–3,esBarcelona,BayArena,Craig Thomson,Match Report,Leg 1 of 2
2011-2012,Round of 16,Tue,2012-02-14,Lyonfr,1–0,cyAPOEL FC,Stade de Gerland,Paolo Tagliavento,Match Report,Leg 1 of 2
2011-2012,Round of 16,Wed,2012-02-15,Zenitru,3–2,ptBenfica,Stadion Petrovski,Jonas Eriksson,Match Report,Leg 1 of 2
2011-2012,Round of 16,Wed,2012-02-15,Milanit,4–0,engArsenal,Stadio Giuseppe Meazza,Viktor Kassai,Match Report,Leg 1 of 2
2011-2012,Round of 16,Tue,2012-02-21,Napoliit,3–1,engChelsea,Stadio San Paolo,Velasco Carballo,Match Report,Leg 1 of 2
2011-2012,Round of 16,Tue,2012-02-21,CSKA Moscowru,1–1,esReal Madrid,Stadion Luzhniki,Björn Kuipers,Match Report,Leg 1 of 2
2011-2012,Round of 16,Wed,2012-02-22,Marseillefr,1–0,itInter,Stade Vélodrome,Cüneyt Çakır,Match Report,Leg 1 of 2
2011-2012,Round of 16,Wed,2012-02-22,Baselch,1–0,deBayern Munich,St. Jakob,Nicola Rizzoli,Match Report,Leg 1 of 2
2011-2012,Round of 16,Tue,2012-03-06,Benficapt,2–0,ruZenit,Estádio do Sport Lisboa e Benfica,Howard Webb,Match Report,Leg 2 of 2; Benfica won
2011-2012,Round of 16,Tue,2012-03-06,Arsenaleng,3–0,itMilan,Arsenal Stadium,Damir Skomina,Match Report,Leg 2 of 2; Milan won
2011-2012,Round of 16,Wed,2012-03-07,APOEL FCcy,(4)1–0(3),frLyon,GSP Stadium,Undiano Mallenco,Match Report,Leg 2 of 2; APOEL FC won; APOEL FC won on penalty kicks following extra time
2011-2012,Round of 16,Wed,2012-03-07,Barcelonaes,7–1,deLeverkusen,Camp Nou,Svein Oddvar Moen,Match Report,Leg 2 of 2; Barcelona won
2011-2012,Round of 16,Tue,2012-03-13,Bayern Munichde,7–0,chBasel,Fußball Arena München,Mark Clattenburg,Match Report,Leg 2 of 2; Bayern Munich won
2011-2012,Round of 16,Tue,2012-03-13,Interit,2–1,frMarseille,Stadio Giuseppe Meazza,Pedro Proença,Match Report,Leg 2 of 2; Marseille won
2011-2012,Round of 16,Wed,2012-03-14,Real Madrides,4–1,ruCSKA Moscow,Estadio Santiago Bernabéu,Stéphane Lannoy,Match Report,Leg 2 of 2; Real Madrid won
2011-2012,Round of 16,Wed,2012-03-14,Chelseaeng,4–1,itNapoli,Stamford Bridge,Felix Brych,Match Report,Leg 2 of 2; Chelsea won; Required Extra Time
2011-2012,Quarter-finals,Tue,2012-03-27,Benficapt,0–1,engChelsea,Estádio do Sport Lisboa e Benfica,Paolo Tagliavento,Match Report,Leg 1 of 2
2011-2012,Quarter-finals,Tue,2012-03-27,APOEL FCcy,0–3,esReal Madrid,GSP Stadium,Felix Brych,Match Report,Leg 1 of 2
2011-2012,Quarter-finals,Wed,2012-03-28,Milanit,0–0,esBarcelona,Stadio Giuseppe Meazza,Jonas Eriksson,Match Report,Leg 1 of 2
2011-2012,Quarter-finals,Wed,2012-03-28,Marseillefr,0–2,deBayern Munich,Stade Vélodrome,Velasco Carballo,Match Report,Leg 1 of 2
2011-2012,Quarter-finals,Tue,2012-04-03,Bayern Munichde,2–0,frMarseille,Fußball Arena München,Svein Oddvar Moen,Match Report,Leg 2 of 2; Bayern Munich won
2011-2012,Quarter-finals,Tue,2012-04-03,Barcelonaes,3–1,itMilan,Camp Nou,Björn Kuipers,Match Report,Leg 2 of 2; Barcelona won
2011-2012,Quarter-finals,Wed,2012-04-04,Chelseaeng,2–1,ptBenfica,Stamford Bridge,Damir Skomina,Match Report,Leg 2 of 2; Chelsea won
2011-2012,Quarter-finals,Wed,2012-04-04,Real Madrides,5–2,cyAPOEL FC,Estadio Santiago Bernabéu,Gianluca Rocchi,Match Report,Leg 2 of 2; Real Madrid won
2011-2012,Semi-finals,Tue,2012-04-17,Bayern Munichde,2–1,esReal Madrid,Fußball Arena München,Howard Webb,Match Report,Leg 1 of 2
2011-2012,Semi-finals,Wed,2012-04-18,Chelseaeng,1–0,esBarcelona,Stamford Bridge,Felix Brych,Match Report,Leg 1 of 2
2011-2012,Semi-finals,Tue,2012-04-24,Barcelonaes,2–2,engChelsea,Camp Nou,Cüneyt Çakır,Match Report,Leg 2 of 2; Chelsea won
2011-2012,Semi-finals,Wed,2012-04-25,Real Madrides,(1)2–1(3),deBayern Munich,Estadio Santiago Bernabéu,Viktor Kassai,Match Report,Leg 2 of 2; Bayern Munich won; Bayern Munich won on penalty kicks following extra time
2011-2012,Final,Sat,2012-05-19,Bayern Munichde,(3)1–1(4),engChelsea,Fußball Arena München (Neutral Site),Pedro Proença,Match Report,Chelsea won on penalty kicks following extra time
2010-2011,Round of 16,Tue,2011-02-15,Valenciaes,1–1,deSchalke 04,Estadi de Mestalla,Aleksei Nikolaev,Match Report,Leg 1 of 2
2010-2011,Round of 16,Tue,2011-02-15,Milanit,0–1,engTottenham,Stadio Giuseppe Meazza,Stéphane Lannoy,Match Report,Leg 1 of 2
2010-2011,Round of 16,Wed,2011-02-16,Arsenaleng,2–1,esBarcelona,Arsenal Stadium,Nicola Rizzoli,Match Report,Leg 1 of 2
2010-2011,Round of 16,Wed,2011-02-16,Romait,2–3,uaShakhtar,Stadio Olimpico,Olegário Benquerença,Match Report,Leg 1 of 2
2010-2011,Round of 16,Tue,2011-02-22,Lyonfr,1–1,esReal Madrid,Stade de Gerland,Wolfgang Stark,Match Report,Leg 1 of 2
2010-2011,Round of 16,Tue,2011-02-22,FC Copenhagendk,0–2,engChelsea,Telia Parken,Björn Kuipers,Match Report,Leg 1 of 2
2010-2011,Round of 16,Wed,2011-02-23,Interit,0–1,deBayern Munich,Stadio Giuseppe Meazza,Viktor Kassai,Match Report,Leg 1 of 2
2010-2011,Round of 16,Wed,2011-02-23,Marseillefr,0–0,engManchester Utd,Stade Vélodrome,Felix Brych,Match Report,Leg 1 of 2
2010-2011,Round of 16,Tue,2011-03-08,Barcelonaes,3–1,engArsenal,Camp Nou,Massimo Busacca,Match Report,Leg 2 of 2; Barcelona won
2010-2011,Round of 16,Tue,2011-03-08,Shakhtarua,3–0,itRoma,Donbass Arena,Howard Webb,Match Report,Leg 2 of 2; Shakhtar won
2010-2011,Round of 16,Wed,2011-03-09,Tottenhameng,0–0,itMilan,White Hart Lane,Frank de Bleeckere,Match Report,Leg 2 of 2; Tottenham won
2010-2011,Round of 16,Wed,2011-03-09,Schalke 04de,3–1,esValencia,Arena AufSchalke,Jonas Eriksson,Match Report,Leg 2 of 2; Schalke 04 won
2010-2011,Round of 16,Tue,2011-03-15,Manchester Utdeng,2–1,frMarseille,Old Trafford,Velasco Carballo,Match Report,Leg 2 of 2; Manchester Utd won
2010-2011,Round of 16,Tue,2011-03-15,Bayern Munichde,2–3,itInter,Fußball Arena München,Pedro Proença,Match Report,Leg 2 of 2; Inter won
2010-2011,Round of 16,Wed,2011-03-16,Real Madrides,3–0,frLyon,Estadio Santiago Bernabéu,Damir Skomina,Match Report,Leg 2 of 2; Real Madrid won
2010-2011,Round of 16,Wed,2011-03-16,Chelseaeng,0–0,dkFC Copenhagen,Stamford Bridge,Svein Oddvar Moen,Match Report,Leg 2 of 2; Chelsea won
2010-2011,Quarter-finals,Tue,2011-04-05,Real Madrides,4–0,engTottenham,Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 1 of 2
2010-2011,Quarter-finals,Tue,2011-04-05,Interit,2–5,deSchalke 04,Stadio Giuseppe Meazza,Martin Atkinson,Match Report,Leg 1 of 2
2010-2011,Quarter-finals,Wed,2011-04-06,Barcelonaes,5–1,uaShakhtar,Camp Nou,Craig Thomson,Match Report,Leg 1 of 2
2010-2011,Quarter-finals,Wed,2011-04-06,Chelseaeng,0–1,engManchester Utd,Stamford Bridge,Undiano Mallenco,Match Report,Leg 1 of 2
2010-2011,Quarter-finals,Tue,2011-04-12,Shakhtarua,0–1,esBarcelona,Donbass Arena,Florian Meyer,Match Report,Leg 2 of 2; Barcelona won
2010-2011,Quarter-finals,Tue,2011-04-12,Manchester Utdeng,2–1,engChelsea,Old Trafford,Olegário Benquerença,Match Report,Leg 2 of 2; Manchester Utd won
2010-2011,Quarter-finals,Wed,2011-04-13,Tottenhameng,0–1,esReal Madrid,White Hart Lane,Nicola Rizzoli,Match Report,Leg 2 of 2; Real Madrid won
2010-2011,Quarter-finals,Wed,2011-04-13,Schalke 04de,2–1,itInter,Arena AufSchalke,Damir Skomina,Match Report,Leg 2 of 2; Schalke 04 won
2010-2011,Semi-finals,Tue,2011-04-26,Schalke 04de,0–2,engManchester Utd,Arena AufSchalke,Velasco Carballo,Match Report,Leg 1 of 2
2010-2011,Semi-finals,Wed,2011-04-27,Real Madrides,0–2,esBarcelona,Estadio Santiago Bernabéu,Wolfgang Stark,Match Report,Leg 1 of 2
2010-2011,Semi-finals,Tue,2011-05-03,Barcelonaes,1–1,esReal Madrid,Camp Nou,Frank de Bleeckere,Match Report,Leg 2 of 2; Barcelona won
2010-2011,Semi-finals,Wed,2011-05-04,Manchester Utdeng,4–1,deSchalke 04,Old Trafford,Pedro Proença,Match Report,Leg 2 of 2; Manchester Utd won
2010-2011,Final,Sat,2011-05-28,Barcelonaes,3–1,engManchester Utd,Wembley Stadium (Neutral Site),Viktor Kassai,Match Report
2009-2010,Round of 16,Tue,2010-02-16,Lyonfr,1–0,esReal Madrid,Stade de Gerland,Martin Atkinson,Match Report,Leg 1 of 2
2009-2010,Round of 16,Tue,2010-02-16,Milanit,2–3,engManchester Utd,Stadio Giuseppe Meazza,Olegário Benquerença,Match Report,Leg 1 of 2
2009-2010,Round of 16,Wed,2010-02-17,Portopt,2–1,engArsenal,Estádio do Dragão,Martin Hansson,Match Report,Leg 1 of 2
2009-2010,Round of 16,Wed,2010-02-17,Bayern Munichde,2–1,itFiorentina,Fußball Arena München,Tom Henning Øvrebø,Match Report,Leg 1 of 2
2009-2010,Round of 16,Tue,2010-02-23,Olympiacosgr,0–1,frBordeaux,Stadio Georgios Karaiskakis,Howard Webb,Match Report,Leg 1 of 2
2009-2010,Round of 16,Tue,2010-02-23,Stuttgartde,1–1,esBarcelona,VfB Arena,Björn Kuipers,Match Report,Leg 1 of 2
2009-2010,Round of 16,Wed,2010-02-24,CSKA Moscowru,1–1,esSevilla,Stadion Luzhniki,Felix Brych,Match Report,Leg 1 of 2
2009-2010,Round of 16,Wed,2010-02-24,Interit,2–1,engChelsea,Stadio Giuseppe Meazza,Mejuto González,Match Report,Leg 1 of 2
2009-2010,Round of 16,Tue,2010-03-09,Fiorentinait,3–2,deBayern Munich,Stadio Artemio Franchi,Undiano Mallenco,Match Report,Leg 2 of 2; Bayern Munich won
2009-2010,Round of 16,Tue,2010-03-09,Arsenaleng,5–0,ptPorto,Arsenal Stadium,Frank de Bleeckere,Match Report,Leg 2 of 2; Arsenal won
2009-2010,Round of 16,Wed,2010-03-10,Real Madrides,1–1,frLyon,Estadio Santiago Bernabéu,Nicola Rizzoli,Match Report,Leg 2 of 2; Lyon won
2009-2010,Round of 16,Wed,2010-03-10,Manchester Utdeng,4–0,itMilan,Old Trafford,Massimo Busacca,Match Report,Leg 2 of 2; Manchester Utd won
2009-2010,Round of 16,Tue,2010-03-16,Chelseaeng,0–1,itInter,Stamford Bridge,Wolfgang Stark,Match Report,Leg 2 of 2; Inter won
2009-2010,Round of 16,Tue,2010-03-16,Sevillaes,1–2,ruCSKA Moscow,Estadio Ramón Sánchez Pizjuán,Viktor Kassai,Match Report,Leg 2 of 2; CSKA Moscow won
2009-2010,Round of 16,Wed,2010-03-17,Bordeauxfr,2–1,grOlympiacos,Stade Chaban,Olegário Benquerença,Match Report,Leg 2 of 2; Bordeaux won
2009-2010,Round of 16,Wed,2010-03-17,Barcelonaes,4–0,deStuttgart,Camp Nou,Alain Hamer,Match Report,Leg 2 of 2; Barcelona won
2009-2010,Quarter-finals,Tue,2010-03-30,Bayern Munichde,2–1,engManchester Utd,Fußball Arena München,Frank de Bleeckere,Match Report,Leg 1 of 2
2009-2010,Quarter-finals,Tue,2010-03-30,Lyonfr,3–1,frBordeaux,Stade de Gerland,Felix Brych,Match Report,Leg 1 of 2
2009-2010,Quarter-finals,Wed,2010-03-31,Interit,1–0,ruCSKA Moscow,Stadio Giuseppe Meazza,Howard Webb,Match Report,Leg 1 of 2
2009-2010,Quarter-finals,Wed,2010-03-31,Arsenaleng,2–2,esBarcelona,Arsenal Stadium,Massimo Busacca,Match Report,Leg 1 of 2
2009-2010,Quarter-finals,Tue,2010-04-06,CSKA Moscowru,0–1,itInter,Stadion Luzhniki,Stéphane Lannoy,Match Report,Leg 2 of 2; Inter won
2009-2010,Quarter-finals,Tue,2010-04-06,Barcelonaes,4–1,engArsenal,Camp Nou,Wolfgang Stark,Match Report,Leg 2 of 2; Barcelona won
2009-2010,Quarter-finals,Wed,2010-04-07,Bordeauxfr,1–0,frLyon,Stade Chaban,Undiano Mallenco,Match Report,Leg 2 of 2; Lyon won
2009-2010,Quarter-finals,Wed,2010-04-07,Manchester Utdeng,3–2,deBayern Munich,Old Trafford,Nicola Rizzoli,Match Report,Leg 2 of 2; Bayern Munich won
2009-2010,Semi-finals,Tue,2010-04-20,Interit,3–1,esBarcelona,Stadio Giuseppe Meazza,Olegário Benquerença,Match Report,Leg 1 of 2
2009-2010,Semi-finals,Wed,2010-04-21,Bayern Munichde,1–0,frLyon,Fußball Arena München,Roberto Rosetti,Match Report,Leg 1 of 2
2009-2010,Semi-finals,Tue,2010-04-27,Lyonfr,0–3,deBayern Munich,Stade de Gerland,Massimo Busacca,Match Report,Leg 2 of 2; Bayern Munich won
2009-2010,Semi-finals,Wed,2010-04-28,Barcelonaes,1–0,itInter,Camp Nou,Frank de Bleeckere,Match Report,Leg 2 of 2; Inter won
2009-2010,Final,Sat,2010-05-22,Bayern Munichde,0–2,itInter,Estadio Santiago Bernabéu (Neutral Site),Howard Webb,Match Report
2008-2009,Round of 16,Tue,2009-02-24,Interit,0–0,engManchester Utd,Stadio Giuseppe Meazza,Medina Cantalejo,Match Report,Leg 1 of 2
2008-2009,Round of 16,Tue,2009-02-24,Arsenaleng,1–0,itRoma,Arsenal Stadium,Claus Bo Larsen,Match Report,Leg 1 of 2
2008-2009,Round of 16,Tue,2009-02-24,Lyonfr,1–1,esBarcelona,Stade de Gerland,Wolfgang Stark,Match Report,Leg 1 of 2
2008-2009,Round of 16,Tue,2009-02-24,Atlético Madrides,2–2,ptPorto,Estadio Vicente Calderón,Howard Webb,Match Report,Leg 1 of 2
2008-2009,Round of 16,Wed,2009-02-25,Sporting CPpt,0–5,deBayern Munich,José Alvalade,Bertrand Layec,Match Report,Leg 1 of 2
2008-2009,Round of 16,Wed,2009-02-25,Chelseaeng,1–0,itJuventus,Stamford Bridge,Olegário Benquerença,Match Report,Leg 1 of 2
2008-2009,Round of 16,Wed,2009-02-25,Real Madrides,0–1,engLiverpool,Estadio Santiago Bernabéu,Roberto Rosetti,Match Report,Leg 1 of 2
2008-2009,Round of 16,Wed,2009-02-25,Villarreales,1–1,grPanathinaikos,Estadio El Madrigal,Konrad Plautz,Match Report,Leg 1 of 2
2008-2009,Round of 16,Tue,2009-03-10,Panathinaikosgr,1–2,esVillarreal,OAKA Spiros Louis,Massimo Busacca,Match Report,Leg 2 of 2; Villarreal won
2008-2009,Round of 16,Tue,2009-03-10,Bayern Munichde,7–1,ptSporting CP,Fußball Arena München,Martin Hansson,Match Report,Leg 2 of 2; Bayern Munich won
2008-2009,Round of 16,Tue,2009-03-10,Juventusit,2–2,engChelsea,Stadio Olimpico,Undiano Mallenco,Match Report,Leg 2 of 2; Chelsea won
2008-2009,Round of 16,Tue,2009-03-10,Liverpooleng,4–0,esReal Madrid,Anfield,Frank de Bleeckere,Match Report,Leg 2 of 2; Liverpool won
2008-2009,Round of 16,Wed,2009-03-11,Romait,(6)1–0(7),engArsenal,Stadio Olimpico,Mejuto González,Match Report,Leg 2 of 2; Arsenal won; Arsenal won on penalty kicks following extra time
2008-2009,Round of 16,Wed,2009-03-11,Manchester Utdeng,2–0,itInter,Old Trafford,Wolfgang Stark,Match Report,Leg 2 of 2; Manchester Utd won
2008-2009,Round of 16,Wed,2009-03-11,Portopt,0–0,esAtlético Madrid,Estádio do Dragão,Pieter Vink,Match Report,Leg 2 of 2; Porto won
2008-2009,Round of 16,Wed,2009-03-11,Barcelonaes,5–2,frLyon,Camp Nou,Tom Henning Øvrebø,Match Report,Leg 2 of 2; Barcelona won
2008-2009,Quarter-finals,Tue,2009-04-07,Villarreales,1–1,engArsenal,Estadio El Madrigal,Tom Henning Øvrebø,Match Report,Leg 1 of 2
2008-2009,Quarter-finals,Tue,2009-04-07,Manchester Utdeng,2–2,ptPorto,Old Trafford,Konrad Plautz,Match Report,Leg 1 of 2
2008-2009,Quarter-finals,Wed,2009-04-08,Barcelonaes,4–0,deBayern Munich,Camp Nou,Howard Webb,Match Report,Leg 1 of 2
2008-2009,Quarter-finals,Wed,2009-04-08,Liverpooleng,1–3,engChelsea,Anfield,Claus Bo Larsen,Match Report,Leg 1 of 2
2008-2009,Quarter-finals,Tue,2009-04-14,Chelseaeng,4–4,engLiverpool,Stamford Bridge,Medina Cantalejo,Match Report,Leg 2 of 2; Chelsea won
2008-2009,Quarter-finals,Tue,2009-04-14,Bayern Munichde,1–1,esBarcelona,Fußball Arena München,Roberto Rosetti,Match Report,Leg 2 of 2; Barcelona won
2008-2009,Quarter-finals,Wed,2009-04-15,Portopt,0–1,engManchester Utd,Estádio do Dragão,Massimo Busacca,Match Report,Leg 2 of 2; Manchester Utd won
2008-2009,Quarter-finals,Wed,2009-04-15,Arsenaleng,3–0,esVillarreal,Arsenal Stadium,Wolfgang Stark,Match Report,Leg 2 of 2; Arsenal won
2008-2009,Semi-finals,Tue,2009-04-28,Barcelonaes,0–0,engChelsea,Camp Nou,Wolfgang Stark,Match Report,Leg 1 of 2
2008-2009,Semi-finals,Wed,2009-04-29,Manchester Utdeng,1–0,engArsenal,Old Trafford,Claus Bo Larsen,Match Report,Leg 1 of 2
2008-2009,Semi-finals,Tue,2009-05-05,Arsenaleng,1–3,engManchester Utd,Arsenal Stadium,Roberto Rosetti,Match Report,Leg 2 of 2; Manchester Utd won
2008-2009,Semi-finals,Wed,2009-05-06,Chelseaeng,1–1,esBarcelona,Stamford Bridge,Tom Henning Øvrebø,Match Report,Leg 2 of 2; Barcelona won
2008-2009,Final,Wed,2009-05-27,Barcelonaes,2–0,engManchester Utd,Stadio Olimpico (Neutral Site),Massimo Busacca,Match Report
2007-2008,Round of 16,Tue,2008-02-19,Schalke 04de,1–0,ptPorto,Arena AufSchalke,Laurent Duhamel,Match Report,Leg 1 of 2
2007-2008,Round of 16,Tue,2008-02-19,Liverpooleng,2–0,itInter,Anfield,Frank de Bleeckere,Match Report,Leg 1 of 2
2007-2008,Round of 16,Tue,2008-02-19,Romait,2–1,esReal Madrid,Stadio Olimpico,Herbert Fandel,Match Report,Leg 1 of 2
2007-2008,Round of 16,Tue,2008-02-19,Olympiacosgr,0–0,engChelsea,Stadio Georgios Karaiskakis,Konrad Plautz,Match Report,Leg 1 of 2
2007-2008,Round of 16,Wed,2008-02-20,Arsenaleng,0–0,itMilan,Arsenal Stadium,Claus Bo Larsen,Match Report,Leg 1 of 2
2007-2008,Round of 16,Wed,2008-02-20,Celticsct,2–3,esBarcelona,Celtic Park,Peter Fröjdfeldt,Match Report,Leg 1 of 2
2007-2008,Round of 16,Wed,2008-02-20,Fenerbahçetr,3–2,esSevilla,Şükrü Saracoğlu,Florian Meyer,Match Report,Leg 1 of 2
2007-2008,Round of 16,Wed,2008-02-20,Lyonfr,1–1,engManchester Utd,Stade de Gerland,Medina Cantalejo,Match Report,Leg 1 of 2
2007-2008,Round of 16,Tue,2008-03-04,Manchester Utdeng,1–0,frLyon,Old Trafford,Roberto Rosetti,Match Report,Leg 2 of 2; Manchester Utd won
2007-2008,Round of 16,Tue,2008-03-04,Sevillaes,(2)3–2(3),trFenerbahçe,Estadio Ramón Sánchez Pizjuán,Massimo Busacca,Match Report,Leg 2 of 2; Fenerbahçe won; Fenerbahçe won on penalty kicks following extra time
2007-2008,Round of 16,Tue,2008-03-04,Milanit,0–2,engArsenal,Stadio Giuseppe Meazza,Konrad Plautz,Match Report,Leg 2 of 2; Arsenal won
2007-2008,Round of 16,Tue,2008-03-04,Barcelonaes,1–0,sctCeltic,Camp Nou,Pieter Vink,Match Report,Leg 2 of 2; Barcelona won
2007-2008,Round of 16,Wed,2008-03-05,Portopt,(1)1–0(4),deSchalke 04,Estádio do Dragão,Howard Webb,Match Report,Leg 2 of 2; Schalke 04 won; Schalke 04 won on penalty kicks following extra time
2007-2008,Round of 16,Wed,2008-03-05,Chelseaeng,3–0,grOlympiacos,Stamford Bridge,Mejuto González,Match Report,Leg 2 of 2; Chelsea won
2007-2008,Round of 16,Wed,2008-03-05,Real Madrides,1–2,itRoma,Estadio Santiago Bernabéu,Kyros Vassaras,Match Report,Leg 2 of 2; Roma won
2007-2008,Round of 16,Tue,2008-03-11,Interit,0–1,engLiverpool,Stadio Giuseppe Meazza,Tom Henning Øvrebø,Match Report,Leg 2 of 2; Liverpool won
2007-2008,Quarter-finals,Tue,2008-04-01,Schalke 04de,0–1,esBarcelona,Arena AufSchalke,Kyros Vassaras,Match Report,Leg 1 of 2
2007-2008,Quarter-finals,Tue,2008-04-01,Romait,0–2,engManchester Utd,Stadio Olimpico,Frank de Bleeckere,Match Report,Leg 1 of 2
2007-2008,Quarter-finals,Wed,2008-04-02,Arsenaleng,1–1,engLiverpool,Arsenal Stadium,Pieter Vink,Match Report,Leg 1 of 2
2007-2008,Quarter-finals,Wed,2008-04-02,Fenerbahçetr,2–1,engChelsea,Şükrü Saracoğlu,Claus Bo Larsen,Match Report,Leg 1 of 2
2007-2008,Quarter-finals,Tue,2008-04-08,Chelseaeng,2–0,trFenerbahçe,Stamford Bridge,Herbert Fandel,Match Report,Leg 2 of 2; Chelsea won
2007-2008,Quarter-finals,Tue,2008-04-08,Liverpooleng,4–2,engArsenal,Anfield,Peter Fröjdfeldt,Match Report,Leg 2 of 2; Liverpool won
2007-2008,Quarter-finals,Wed,2008-04-09,Barcelonaes,1–0,deSchalke 04,Camp Nou,Roberto Rosetti,Match Report,Leg 2 of 2; Barcelona won
2007-2008,Quarter-finals,Wed,2008-04-09,Manchester Utdeng,1–0,itRoma,Old Trafford,Tom Henning Øvrebø,Match Report,Leg 2 of 2; Manchester Utd won
2007-2008,Semi-finals,Tue,2008-04-22,Liverpooleng,1–1,engChelsea,Anfield,Konrad Plautz,Match Report,Leg 1 of 2
2007-2008,Semi-finals,Wed,2008-04-23,Barcelonaes,0–0,engManchester Utd,Camp Nou,Massimo Busacca,Match Report,Leg 1 of 2
2007-2008,Semi-finals,Tue,2008-04-29,Manchester Utdeng,1–0,esBarcelona,Old Trafford,Herbert Fandel,Match Report,Leg 2 of 2; Manchester Utd won
2007-2008,Semi-finals,Wed,2008-04-30,Chelseaeng,3–2,engLiverpool,Stamford Bridge,Roberto Rosetti,Match Report,Leg 2 of 2; Chelsea won; Required Extra Time
2007-2008,Final,Wed,2008-05-21,Manchester Utdeng,(6)1–1(5),engChelsea,Stadion Luzhniki (Neutral Site),Ľuboš Michel,Match Report,Manchester Utd won on penalty kicks following extra time
2006-2007,Round of 16,Tue,2007-02-20,Lillefr,0–1,engManchester Utd,Stade Félix,Eric Braamhaar,Match Report,Leg 1 of 2
2006-2007,Round of 16,Tue,2007-02-20,Real Madrides,3–2,deBayern Munich,Estadio Santiago Bernabéu,Frank de Bleeckere,Match Report,Leg 1 of 2
2006-2007,Round of 16,Tue,2007-02-20,Celticsct,0–0,itMilan,Celtic Park,Terje Hauge,Match Report,Leg 1 of 2
2006-2007,Round of 16,Tue,2007-02-20,PSV Eindhovennl,1–0,engArsenal,PSV Stadion,Tom Henning Øvrebø,Match Report,Leg 1 of 2
2006-2007,Round of 16,Wed,2007-02-21,Portopt,1–1,engChelsea,Estádio do Dragão,Massimo Busacca,Match Report,Leg 1 of 2
2006-2007,Round of 16,Wed,2007-02-21,Barcelonaes,1–2,engLiverpool,Camp Nou,Kyros Vassaras,Match Report,Leg 1 of 2
2006-2007,Round of 16,Wed,2007-02-21,Romait,0–0,frLyon,Stadio Olimpico,Mike Riley,Match Report,Leg 1 of 2
2006-2007,Round of 16,Wed,2007-02-21,Interit,2–2,esValencia,Stadio Giuseppe Meazza,Martin Hansson,Match Report,Leg 1 of 2
2006-2007,Round of 16,Tue,2007-03-06,Chelseaeng,2–1,ptPorto,Stamford Bridge,Roberto Rosetti,Match Report,Leg 2 of 2; Chelsea won
2006-2007,Round of 16,Tue,2007-03-06,Liverpooleng,0–1,esBarcelona,Anfield,Herbert Fandel,Match Report,Leg 2 of 2; Liverpool won
2006-2007,Round of 16,Tue,2007-03-06,Valenciaes,0–0,itInter,Estadi de Mestalla,Wolfgang Stark,Match Report,Leg 2 of 2; Valencia won
2006-2007,Round of 16,Tue,2007-03-06,Lyonfr,0–2,itRoma,Stade de Gerland,Mejuto González,Match Report,Leg 2 of 2; Roma won
2006-2007,Round of 16,Wed,2007-03-07,Manchester Utdeng,1–0,frLille,Old Trafford,Medina Cantalejo,Match Report,Leg 2 of 2; Manchester Utd won
2006-2007,Round of 16,Wed,2007-03-07,Arsenaleng,1–1,nlPSV Eindhoven,Arsenal Stadium,Alain Hamer,Match Report,Leg 2 of 2; PSV Eindhoven won
2006-2007,Round of 16,Wed,2007-03-07,Bayern Munichde,2–1,esReal Madrid,Fußball Arena München,Ľuboš Michel,Match Report,Leg 2 of 2; Bayern Munich won
2006-2007,Round of 16,Wed,2007-03-07,Milanit,1–0,sctCeltic,Stadio Giuseppe Meazza,Konrad Plautz,Match Report,Leg 2 of 2; Milan won; Required Extra Time
2006-2007,Quarter-finals,Tue,2007-04-03,Milanit,2–2,deBayern Munich,Stadio Giuseppe Meazza,Iouri Baskakov,Match Report,Leg 1 of 2
2006-2007,Quarter-finals,Tue,2007-04-03,PSV Eindhovennl,0–3,engLiverpool,PSV Stadion,Bertrand Layec,Match Report,Leg 1 of 2
2006-2007,Quarter-finals,Wed,2007-04-04,Chelseaeng,1–1,esValencia,Stamford Bridge,Frank de Bleeckere,Match Report,Leg 1 of 2
2006-2007,Quarter-finals,Wed,2007-04-04,Romait,2–1,engManchester Utd,Stadio Olimpico,Herbert Fandel,Match Report,Leg 1 of 2
2006-2007,Quarter-finals,Tue,2007-04-10,Manchester Utdeng,7–1,itRoma,Old Trafford,Ľuboš Michel,Match Report,Leg 2 of 2; Manchester Utd won
2006-2007,Quarter-finals,Tue,2007-04-10,Valenciaes,1–2,engChelsea,Estadi de Mestalla,Kyros Vassaras,Match Report,Leg 2 of 2; Chelsea won
2006-2007,Quarter-finals,Wed,2007-04-11,Bayern Munichde,0–2,itMilan,Fußball Arena München,Mejuto González,Match Report,Leg 2 of 2; Milan won
2006-2007,Quarter-finals,Wed,2007-04-11,Liverpooleng,1–0,nlPSV Eindhoven,Anfield,Roberto Rosetti,Match Report,Leg 2 of 2; Liverpool won
2006-2007,Semi-finals,Tue,2007-04-24,Manchester Utdeng,3–2,itMilan,Old Trafford,Kyros Vassaras,Match Report,Leg 1 of 2
2006-2007,Semi-finals,Wed,2007-04-25,Chelseaeng,1–0,engLiverpool,Stamford Bridge,Markus Merk,Match Report,Leg 1 of 2
