Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2021-2022,Semi-finals,Tue,2022-05-03,21:00,Villarreales,2–3,engLiverpool,"23,665",Estadio de la Cerámica,Danny Makkelie,Match Report,Leg 2 of 2; Liverpool won
2021-2022,Semi-finals,Wed,2022-05-04,21:00,Real Madrides,3–1,engManchester City,"61,416",Estadio Santiago Bernabéu,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2021-2022,Final,Sat,2022-05-28,21:30,Liverpooleng,0–1,esReal Madrid,"75,000",Stade de France (Neutral Site),Clément Turpin,Match Report
2020-2021,Round of 16,Tue,2021-02-16,21:00,RB Leipzigde,0–2,engLiverpool,Puskás Aréna (Neutral Site),Slavko Vinčič,Match Report,Leg 1 of 2
2020-2021,Round of 16,Tue,2021-02-16,21:00,Barcelonaes,1–4,frParis S-G,Camp Nou,Björn Kuipers,Match Report,Leg 1 of 2
2020-2021,Round of 16,Wed,2021-02-17,20:00,Portopt,2–1,itJuventus,Estádio Do Dragão,Carlos del Cerro,Match Report,Leg 1 of 2
2020-2021,Round of 16,Wed,2021-02-17,21:00,Sevillaes,2–3,deDortmund,Estadio Ramón Sánchez Pizjuán,Danny Makkelie,Match Report,Leg 1 of 2
2020-2021,Round of 16,Tue,2021-02-23,21:00,Lazioit,1–4,deBayern Munich,Stadio Olimpico,Orel Grinfeeld,Match Report,Leg 1 of 2
2020-2021,Round of 16,Tue,2021-02-23,21:00,Atlético Madrides,0–1,engChelsea,Arena Naţională (Neutral Site),Felix Brych,Match Report,Leg 1 of 2
2020-2021,Round of 16,Wed,2021-02-24,21:00,M'Gladbachde,0–2,engManchester City,Puskás Aréna (Neutral Site),Artur Soares Dias,Match Report,Leg 1 of 2
2020-2021,Round of 16,Wed,2021-02-24,21:00,Atalantait,0–1,esReal Madrid,Stadio Atleti Azzurri d'Italia,Tobias Stieler,Match Report,Leg 1 of 2
2020-2021,Round of 16,Tue,2021-03-09,21:00,Dortmundde,2–2,esSevilla,Fußballpark BVB Hohenbuschei,Cüneyt Çakιr,Match Report,Leg 2 of 2; Dortmund won
2020-2021,Round of 16,Tue,2021-03-09,21:00,Juventusit,3–2,ptPorto,Allianz Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Porto won; Required Extra Time
2020-2021,Round of 16,Wed,2021-03-10,20:00,Liverpooleng,2–0,deRB Leipzig,Puskás Aréna (Neutral Site),Clément Turpin,Match Report,Leg 2 of 2; Liverpool won
2020-2021,Round of 16,Wed,2021-03-10,21:00,Paris S-Gfr,1–1,esBarcelona,Parc des Princes,Anthony Taylor,Match Report,Leg 2 of 2; Paris S-G won
2020-2021,Round of 16,Tue,2021-03-16,20:00,Manchester Cityeng,2–0,deM'Gladbach,Puskás Aréna (Neutral Site),Sergey Karasev,Match Report,Leg 2 of 2; Manchester City won
2020-2021,Round of 16,Tue,2021-03-16,21:00,Real Madrides,3–1,itAtalanta,Estadio Alfredo Di Stéfano,Danny Makkelie,Match Report,Leg 2 of 2; Real Madrid won
2020-2021,Round of 16,Wed,2021-03-17,20:00,Chelseaeng,2–0,esAtlético Madrid,Stamford Bridge,Daniele Orsato,Match Report,Leg 2 of 2; Chelsea won
2020-2021,Round of 16,Wed,2021-03-17,21:00,Bayern Munichde,2–1,itLazio,Allianz Arena,István Kovács,Match Report,Leg 2 of 2; Bayern Munich won
2020-2021,Quarter-finals,Tue,2021-04-06,20:00,Manchester Cityeng,2–1,deDortmund,Etihad Stadium,Ovidiu Hațegan,Match Report,Leg 1 of 2
