Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
2018-2019,W,engLiverpool,13,8,1,4,24,12,+12,25,"52,907",Mohamed Salah-5,Alisson
2018-2019,F,engTottenham,13,6,2,5,20,19,+1,20,"62,947","Harry Kane,Lucas Moura-5",Hugo Lloris
2018-2019,SF,esBarcelona,12,8,3,1,26,10,+16,27,"86,178",Lionel Messi-12,Marc-André ter Stegen
2018-2019,SF,nlAjax,12,6,4,2,22,13,+9,22,"52,056",Dušan Tadić-6,André Onana
2018-2019,QF,engManchester City,10,7,1,2,30,12,+18,22,"49,535",Sergio Agüero-6,Ederson
2018-2019,QF,ptPorto,10,6,1,3,20,15,+5,19,"43,415",Moussa Marega-6,Iker Casillas
2018-2019,QF,itJuventus,10,5,1,4,14,9,+5,16,"40,766",Cristiano Ronaldo-6,Wojciech Szczęsny
2018-2019,QF,engManchester Utd,10,4,1,5,10,11,-1,13,"73,708","Romelu Lukaku,Paul Pogba... -2",David de Gea
2018-2019,R16,esAtlético Madrid,8,5,1,2,11,9,+2,16,"60,068",Antoine Griezmann-4,Jan Oblak
2018-2019,R16,deBayern Munich,8,4,3,1,16,8,+8,15,"69,536",Robert Lewandowski-8,Manuel Neuer
2018-2019,R16,esReal Madrid,8,5,0,3,15,10,+5,15,"66,314",Karim Benzema-4,Thibaut Courtois
2018-2019,R16,frParis S-G,8,4,2,2,20,12,+8,14,"45,144",Neymar-5,Gianluigi Buffon
2018-2019,R16,deDortmund,8,4,1,3,10,6,+4,13,"66,099",Raphaël Guerreiro-4,Roman Bürki
2018-2019,R16,itRoma,8,4,0,4,14,12,+2,12,"49,525",Edin Džeko-5,Robin Olsen
2018-2019,R16,deSchalke 04,8,3,2,3,8,14,-6,11,"50,949",Nabil Bentaleb-3,Ralf Fährmann
2018-2019,R16,frLyon,8,1,6,1,13,16,-3,9,"41,945","Nabil Fekir,Maxwel Cornet-3",Anthony Lopes
2018-2019,GR,itNapoli,6,2,3,1,7,5,+2,9,"45,672","Lorenzo Insigne,Dries Mertens-3",David Ospina
2018-2019,GR,esValencia,6,2,2,2,6,6,0,8,"39,697","Santi Mina,Carlos Soler-2",Neto
2018-2019,GR,itInter,6,2,2,2,6,7,-1,8,"65,857",Mauro Icardi-4,Samir Handanović
2018-2019,GR,ruCSKA Moscow,6,2,1,3,8,9,-1,7,"63,052",Nikola Vlašić-3,Igor Akinfeev
2018-2019,GR,ptBenfica,6,2,1,3,6,11,-5,7,"48,412",Álex Grimaldo-2,Odisseas Vlachodimos
2018-2019,GR,czViktoria Plzeň,6,2,1,3,7,16,-9,7,"11,337",Michal Krmenčík-2,Aleš Hruška
2018-2019,GR,beClub Brugge,6,1,3,2,6,5,+1,6,"24,928","Hans Vanaken,Wesley Moraes-2","Ethan Horvath,Karlo Letica"
2018-2019,GR,uaShakhtar,6,1,3,2,8,16,-8,6,"34,786",Júnior Moraes-3,Andriy Pyatov
