Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2005-2006,ptPorto,21,25.5,,6,64,,,6,5,11,6,0,0,12,0
2005-2006,nlPSV Eindhoven,20,26.0,,8,88,,,4,3,7,4,0,0,9,2
2005-2006,sctRangers,23,27.0,,10,85,,,9,6,15,9,0,0,14,0
2005-2006,atRapid Wien,19,27.8,,10,65,,,3,2,5,3,0,0,8,0
2005-2006,esReal Madrid,27,26.6,,8,85,,,9,8,17,9,0,0,15,1
2005-2006,noRosenborg,14,28.1,,8,63,,,5,3,8,5,0,1,2,0
2005-2006,deSchalke 04,15,27.2,,6,66,,,13,5,18,11,2,2,13,0
2005-2006,czSparta Prague,16,26.7,,6,59,,,2,0,2,2,0,0,4,1
2005-2006,chThun,15,24.8,,10,64,,,4,2,6,4,0,0,11,2
2005-2006,itUdinese,15,27.4,,8,61,,,9,6,15,7,2,2,11,1
2005-2006,esVillarreal,24,27.3,,14,143,,,8,5,13,6,2,3,27,0
2005-2006,deWerder Bremen,19,26.9,,10,108,,,14,10,24,12,2,2,14,2
2004-2005,nlAjax,23,23.2,,6,66,,,6,3,9,6,0,1,8,0
2004-2005,beAnderlecht,22,25.9,,8,66,,,4,2,6,4,0,1,8,0
2004-2005,engArsenal,22,26.5,,8,88,,,12,7,19,10,2,2,8,2
2004-2005,esBarcelona,23,25.6,,8,88,,,13,9,22,11,2,4,7,0
2004-2005,deBayern Munich,23,28.1,,10,110,,,20,12,32,17,3,3,16,0
2004-2005,sctCeltic,19,28.5,,6,66,,,4,4,8,4,0,0,12,0
2004-2005,engChelsea,23,25.3,,12,132,,,20,18,38,20,0,0,19,1
2004-2005,ruCSKA Moscow,20,23.8,,10,66,,,5,3,8,4,1,3,8,1
2004-2005,uaDynamo Kyiv,19,24.2,,8,55,,,7,3,10,7,0,0,9,0
2004-2005,trFenerbahçe,19,26.2,,6,66,,,8,6,14,8,0,0,8,2
2004-2005,itInter,26,28.1,,12,99,,,18,14,32,17,1,2,15,1
2004-2005,itJuventus,22,28.2,,12,110,,,9,6,15,9,0,0,23,1
2004-2005,esLa Coruña,21,28.6,,8,67,,,0,0,0,0,0,0,12,0
2004-2005,deLeverkusen,21,27.2,,10,88,,,15,8,23,15,0,0,22,1
2004-2005,engLiverpool,26,26.1,,15,143,,,17,11,28,17,0,1,21,0
2004-2005,frLyon,22,25.6,,10,110,,,29,21,50,28,1,1,10,0
2004-2005,ilMaccabi Tel Aviv,19,23.7,,10,66,,,4,1,5,2,2,2,7,0
2004-2005,engManchester Utd,27,25.8,,10,89,,,14,9,23,13,1,1,10,0
2004-2005,itMilan,21,29.4,,13,131,,,20,17,37,20,0,0,15,0
2004-2005,frMonaco,20,24.9,,10,89,,,10,8,18,10,0,0,10,1
2004-2005,grOlympiacos,19,30.1,,6,66,,,5,3,8,5,0,0,15,1
2004-2005,grPanathinaikos,22,26.9,,6,66,,,10,4,14,9,1,2,12,0
2004-2005,frParis S-G,20,26.7,,6,66,,,3,3,6,3,0,0,8,1
2004-2005,ptPorto,24,26.2,,8,88,,,6,3,9,6,0,0,20,0
2004-2005,nlPSV Eindhoven,20,26.2,,14,132,,,14,12,26,14,0,1,13,1
2004-2005,esReal Madrid,18,28.2,,10,89,,,12,8,20,9,3,4,14,1
2004-2005,itRoma,24,25.0,,6,55,,,4,3,7,4,0,0,11,3
2004-2005,noRosenborg,19,28.7,,10,66,,,6,3,9,6,0,0,3,0
2004-2005,uaShakhtar,20,24.3,,10,66,,,5,4,9,5,0,0,5,3
2004-2005,czSparta Prague,19,25.4,,10,66,,,2,2,4,2,0,0,4,1
2004-2005,esValencia,20,27.9,,6,66,,,6,5,11,6,0,0,15,2
2004-2005,deWerder Bremen,20,26.8,,8,88,,,14,7,21,12,2,2,18,1
2003-2004,grAEK Athens,23,28.4,,8,66,,,1,1,2,1,0,0,10,1
2003-2004,nlAjax,22,23.0,,8,66,,,6,4,10,5,1,1,14,1
2003-2004,beAnderlecht,17,26.0,,10,66,,,4,3,7,4,0,1,12,1
2003-2004,engArsenal,18,27.7,,10,107,,,15,9,24,15,0,0,8,0
2003-2004,deBayern Munich,19,28.0,,8,91,,,6,4,10,5,1,1,20,1
2003-2004,trBeşiktaş,18,30.1,,6,66,,,5,1,6,3,2,2,11,1
2003-2004,esCelta Vigo,21,28.7,,10,87,,,8,5,13,7,1,1,20,1
2003-2004,sctCeltic,19,29.0,,10,66,,,8,8,16,8,0,1,11,0
2003-2004,engChelsea,21,26.2,,14,128,,,14,5,19,14,0,0,17,2
2003-2004,beClub Brugge,21,28.0,,8,66,,,4,4,8,4,0,0,9,2
2003-2004,uaDynamo Kyiv,19,25.4,,8,66,,,8,5,13,8,0,0,7,0
2003-2004,trGalatasaray,22,28.2,,8,66,,,6,6,12,6,0,0,13,2
2003-2004,itInter,22,27.9,,6,66,,,8,5,13,8,0,0,9,0
2003-2004,itJuventus,22,28.4,,8,89,,,15,12,27,15,0,0,16,0
2003-2004,esLa Coruña,22,28.9,,14,131,,,16,5,21,15,1,1,18,2
2003-2004,itLazio,21,29.6,,8,66,,,6,2,8,5,1,1,13,1
2003-2004,ruLoko Moscow,17,27.6,,10,66,,,7,4,11,6,1,1,9,1
2003-2004,frLyon,20,25.8,,10,110,,,10,3,13,8,2,2,12,1
2003-2004,engManchester Utd,22,26.0,,8,85,,,14,9,23,13,1,1,9,1
2003-2004,frMarseille,19,25.5,,8,66,,,9,7,16,9,0,0,7,0
2003-2004,itMilan,24,28.8,,10,113,,,12,2,14,12,0,0,14,2
2003-2004,frMonaco,20,25.5,,13,143,,,25,8,33,25,0,0,18,3
2003-2004,grOlympiacos,20,28.3,,6,66,,,6,5,11,6,0,0,15,1
2003-2004,grPanathinaikos,21,27.9,,6,66,,,5,5,10,5,0,0,12,1
2003-2004,rsPartizan,22,26.5,,10,66,,,3,1,4,3,0,0,6,1
2003-2004,ptPorto,22,27.5,,13,136,,,16,6,22,15,1,1,25,0
2003-2004,nlPSV Eindhoven,19,25.5,,6,66,,,8,4,12,8,0,0,13,1
2003-2004,sctRangers,19,27.5,,8,66,,,4,1,5,4,0,0,8,0
2003-2004,esReal Madrid,19,26.9,,10,106,,,17,9,26,16,1,1,13,0
2003-2004,esReal Sociedad,20,28.7,,8,86,,,7,5,12,6,1,1,11,1
2003-2004,czSparta Prague,21,26.9,,10,85,,,6,4,10,6,0,0,5,0
2003-2004,deStuttgart,21,25.1,,8,88,,,8,7,15,8,0,1,8,0
