Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2019-2020,engChelsea,22,25.5,51.4,8,88,720,8.0,12,7,19,10,2,3,14,1
2019-2020,beClub Brugge,22,25.4,41.5,6,66,540,6.0,4,3,7,4,0,1,17,3
2019-2020,hrDinamo Zagreb,21,25.7,35.2,6,66,540,6.0,10,9,19,9,1,1,16,1
2019-2020,deDortmund,24,25.8,51.8,8,88,720,8.0,10,9,19,10,0,1,14,2
2019-2020,trGalatasaray,20,29.7,46.7,6,66,540,6.0,1,1,2,1,0,0,21,0
2019-2020,beGenk,20,23.5,40.3,6,66,540,6.0,5,4,9,5,0,0,10,0
2019-2020,itInter,20,27.9,41.5,6,66,540,6.0,10,9,19,10,0,1,17,0
2019-2020,itJuventus,23,28.7,59.4,8,88,720,8.0,14,10,24,13,1,1,10,0
2019-2020,deLeverkusen,20,26.7,58.8,6,66,540,6.0,2,2,4,2,0,0,7,1
2019-2020,frLille,21,23.9,42.7,6,66,540,6.0,4,4,8,4,0,0,14,0
2019-2020,engLiverpool,20,27.0,66.6,8,88,750,8.3,15,11,26,15,0,0,9,0
2019-2020,ruLoko Moscow,20,28.6,32.3,6,66,540,6.0,4,2,6,4,0,0,12,0
2019-2020,frLyon,24,25.0,44.9,10,110,900,10.0,14,9,23,12,2,2,22,0
2019-2020,engManchester City,23,26.9,62.4,9,99,810,9.0,21,18,39,19,2,3,15,2
2019-2020,itNapoli,24,27.1,47.5,8,88,720,8.0,13,6,19,9,4,4,14,0
2019-2020,grOlympiacos,17,26.2,45.0,6,66,540,6.0,8,5,13,6,2,2,14,1
2019-2020,frParis S-G,24,27.4,53.2,11,121,990,11.0,25,20,45,24,1,1,29,0
2019-2020,deRB Leipzig,25,24.2,57.1,10,110,900,10.0,16,10,26,12,4,4,20,0
2019-2020,atRB Salzburg,21,24.1,44.8,6,66,540,6.0,16,13,29,14,2,2,8,0
2019-2020,esReal Madrid,25,27.3,54.8,8,88,720,8.0,16,14,30,15,1,1,13,1
2019-2020,rsRed Star,19,27.5,36.5,6,66,540,6.0,3,2,5,3,0,1,14,0
2019-2020,uaShakhtar,18,28.4,49.8,6,66,540,6.0,8,6,14,7,1,1,11,2
